,day,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin,china_ks,confirm_ks,death_ks,die_ks,health_ks,hospit_ks,infect_ks,lockdown_ks,mask_ks,outbreak_ks,pandem_ks,patient_ks,posit_ks,record_ks,report_ks,spread_ks,studi_ks,test_ks,vaccin_ks
24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5323692992213482,0.034712290552125324,0.1489626922330176,0.4049084520719501,0.32960785352328914,0.04675388880060483,0.0,0.0,-0.009915779437466354,0.0,0.0,0.015731765453680602,0.2644878789483915,0.6428553772268886,0.5276868478203336,0.17241379310345295,0.799791655631449,0.2880343238518879,0.0
25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0.5522185143987013,0.07945336087716992,0.14517011847378214,0.3724526369687544,0.3031022123346758,0.03114571746384978,0.0,0.0,-0.01747973939297487,0.0,0.0,0.03114571746384986,0.2844677507636387,0.7496406942458147,0.5602309444356184,0.1803061602839135,0.7847873298373353,0.31113936119498176,0.0
26,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0.5651853028938789,0.13628899835796626,0.16673552624610788,0.3398908840510735,0.21030421809064406,0.015731765453677767,0.0,0.0,-0.019510214170944232,0.0,0.0,0.04675388880060703,0.3238907428006436,0.8461394494764782,0.5792644384412957,0.1893920935077768,0.7523138584317781,0.3298762293200417,0.0
27,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0.5399968218655387,0.19921252891219124,0.24049296396348074,0.2968518812790646,0.10381552695239417,0.0016243798223900539,0.0,0.0,-0.014301604957878356,0.0,0.0,0.06159224535197294,0.3766760245069435,0.9267899076574384,0.6236417889365851,0.2006356268870128,0.6888112011581997,0.34476402351814706,0.0
28,29,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.5222557691968104,0.2629588431590523,0.2536221904408893,0.2847396578208694,0.020322404082141254,-0.02421738439536769,0.0,0.0,0.0,0.0,0.0,0.0748450659462847,0.4382258947331146,0.9882550276320784,0.6842417500926882,0.2157423592351303,0.6201952787047404,0.357063403781956,0.0
29,30,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.4942493423027333,0.32300439641928497,0.2318802196443883,0.28179105531723403,-0.0026555078834533674,-0.036989953563915545,0.0,0.0,0.0,0.0,0.0,0.08584494235216256,0.4911241767748997,1.0294224623478572,0.7547610219467807,0.2371594540671116,0.5489132545862215,0.3290781644507983,0.0
30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.23461341525857016,0.361265603757257,0.17689849391740484,0.2803220509561033,0.023535851122092662,-0.03698995356391999,0.0,0.0,0.0,0.0,0.0,0.0940727792785685,0.5174355986369084,1.051404558857124,0.8174126454437851,0.25377403464164017,0.4650387555838131,0.2704945530307028,0.0
31,32,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0.08214418136585168,0.3694934406835797,0.12338930381204015,0.2690714550559199,0.08947860938973308,-0.024217384395329056,0.0,0.0,0.0,0.0,0.0,0.09915779437469087,0.5364019986934165,1.0321415329200525,0.8806222080971584,0.2421173437858315,0.3982696823631615,0.2274343626957699,0.0
32,33,3,2,1,2,0,0,0,0,0,0,0,1,0,3,2,1,1,1,0,0.0991260130303111,0.39032434627545376,0.09385737238904968,0.2995003266415639,0.18768296343374669,0.0016243798223629644,0.0,0.0,0.0,0.0,0.0,0.10087751823015978,0.5668944329678887,0.9893461871214946,0.9680809364903418,0.22930946201247826,0.3549834913571765,0.19626392640850046,0.0
33,34,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.23699701608440904,0.4167876123382968,0.08644878789473465,0.34880731677171617,0.31258717799308394,-0.1129826791675459,-0.014301604957910219,0.0,0.0,0.0,0.0,0.09915779437473547,0.5898652824126502,0.9285061002526279,1.0414993732014803,0.21446051167967672,0.3293324152055073,0.1743877677136152,0.0
34,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.45023571163678255,0.4430990342003156,0.07174461924177322,0.29385737238897525,0.44625598107245257,-0.1444462100747792,-0.01951021417097332,0.0,0.0,0.0,0.0,0.09407277927858336,0.5717428536116469,0.8571852322688241,1.064756254745399,0.1829722619489037,0.3298444479756719,0.16024860073795422,0.0
