,day,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin,china_ks,confirm_ks,death_ks,die_ks,health_ks,hospit_ks,infect_ks,lockdown_ks,mask_ks,outbreak_ks,pandem_ks,patient_ks,posit_ks,record_ks,report_ks,spread_ks,studi_ks,test_ks,vaccin_ks
20,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.10462771686352357,0.14417077175695225,-0.060730617794063864,0.0016243798223635753,0.0,0.0,0.09915779437469584,0.0,0.0,-0.017479739392973648,0.3944841711247957,0.4678284513656671,0.3709306637003278,0.0468774829175006,0.03624838886237525,0.24653495065063116,0.0
21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0922965552553804,0.16988187933678536,-0.06673729187638999,-0.009915779437488116,0.0,0.0,0.0940727792785656,0.0,0.0,-0.009915779437473349,0.34604587107361384,0.4926885251690063,0.3049137489626039,0.01735614527602669,0.05266521884981645,0.2497378039091207,0.0
22,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.09354309020604124,0.2277627699207192,-0.09094761375072567,-0.017479739392982863,0.0,0.0,0.08584494235217016,0.0,0.0,0.0016243798223808392,0.2725320903296061,0.5370446881013955,0.23889330296446465,-0.008291399615106498,0.09372671575117876,0.2450694775500011,0.0
23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.10532690643924048,0.27596447551952386,-0.08948214065013492,-0.01951021417095466,0.0,0.0,0.07484506594628992,0.0,0.0,0.01573176545367666,0.20929427759233832,0.5861503963839785,0.18961809417865894,-0.027395518830465315,0.13648321768454594,0.2329007539241208,0.0
24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.12534915338030506,0.32411674347158625,-0.04346981655100102,-0.014301604957887569,0.0,0.0,0.06159224535197458,0.0,0.0,0.031145717463850437,0.13901866271166965,0.6653283189434327,0.16116672846375169,-0.0369899535639191,0.17117432067376356,0.21404735420307253,0.0
25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0.0,0.15205254515599476,0.3813302258241069,0.028800960502869618,0.0,0.0,0.0,0.04675388880060539,0.0,0.0,0.0467538888006076,0.08327418472025849,0.7262319685011365,0.1592492540212329,-0.033811819128837795,0.21217578614686405,0.18976993837949815,0.0
26,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.18462136059466355,0.4438970990695013,0.10822607129616024,0.0,0.0,0.0,0.03114571746384737,0.0,0.0,0.061592245351976375,0.05051468121547309,0.7981319632042201,0.1912071613962445,-0.014301604957886294,0.23490650987868975,0.16177410526687008,0.0
27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.1943782333103774,0.4809894591874251,0.18583258294049895,0.0,0.0,0.0,0.015731765453687263,0.0,0.0,0.07484506594627993,0.05038049331712857,0.8331267545949181,0.2660133834772277,-0.014301604957883018,0.2530748450659181,0.1322103924996001,0.0
28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.20338294754312572,0.4989565125271545,0.27708035383230273,0.0,0.0,0.0,0.0016243798223763983,0.0,0.0,0.07154333739428237,0.054000035312590455,0.8352384483640805,0.2386849585959706,-0.019510214170951782,0.2666807917086027,0.1036742765330051,0.0
29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0.0,0.0,0.22148772004166994,0.530377668308706,0.3732189204936671,0.0,0.0,0.0,-0.00991577943746602,0.0,0.0,0.07456256510761328,0.004138637286584146,0.819361901230578,0.2290022423504159,-0.046082949308740906,0.26201599660996777,0.07920617264332674,0.0
30,31,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.2451330402387118,0.5699136606811681,0.4523827180111884,0.0,0.0,0.0,-0.017479739392974203,0.0,0.0,0.08167805498172326,-0.02121581298444841,0.7878701202393561,0.2356304182778057,-0.04893620777935759,0.2636615639952873,0.062291434927696565,0.0
31,32,0,0,1,3,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,0.0,0.2716492752087725,0.61400497907721,0.5315888906544535,0.0,0.0,0.0,-0.01951021417093246,0.0,0.0,0.09096173879265827,0.0009605028515382584,0.7195190423220668,0.25842117343785986,-0.03333509896353348,0.2715433373942373,0.002860320991621368,0.0
32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,-0.014301604957899894,0.29925666966826103,0.6354750428165872,0.6037925737592564,0.0,0.0,0.0,-0.014301604957904113,0.0,0.0,0.10078217419709072,0.044084255875081364,0.6323922524145527,0.2730158730158736,-0.004099793421293629,0.2609318996416037,-0.03577166869720738,0.0
33,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.01951021417097953,0.3270653459753512,0.6321733142646391,0.6632837191237533,0.0,0.0,0.0,0.0,0.0,0.0,0.10980454473226986,0.09490968801306776,0.5319031728375658,0.2937902784399227,0.034394477108560466,0.2453872909935848,-0.05479103766102877,0.0
34,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.017479739393002625,0.3550753041298877,0.6269752988330146,0.7056870950086741,0.0,0.0,0.0,0.0,0.0,0.0,0.1169906598160445,0.12477708918193375,0.4250966682556926,0.30755513180432703,0.07821741970794993,0.2247611985098361,-0.05479103766097815,0.0
35,36,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.009915779437494663,0.3444779914191041,0.6048378268623513,0.7279622861383093,0.0,0.0,0.0,0.0,0.0,0.0,0.12159895474690965,0.16685912036299433,0.3206490456767885,0.31445874604944724,0.10958207532177544,0.1708953510955601,-0.03577166869723314,0.0
36,37,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0016243798223669614,0.33259883115276034,0.5758920846796536,0.728403693698521,0.0,0.0,0.0,0.0,0.0,0.0,0.12318449070397408,0.2155198898246654,0.22886805445194905,0.3279870049614346,0.14884262937655862,0.13161714073835062,0.002860320991536547,0.0
37,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.015731765453700808,0.3179546939279536,0.539099881702759,0.6923389303810286,0.0,0.0,0.0,0.0,0.0,0.0,0.12159895474688233,0.26601338347721115,0.1330896763601075,0.32296555255392523,0.19154969366313698,0.10485018627407383,0.04798982996983736,0.0
38,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03114571746385203,0.2999523279834355,0.5076504758373515,0.6298250260429787,0.0,0.0,0.0,0.0,0.0,0.0,0.1169906598160102,0.2858802549569965,0.07937214188618924,0.2985045111852433,0.2338471317335955,0.0894079841800135,0.07399756343027297,0.0
